Num Trials,Word,Min val,Max val,Mean Value,Max Dev,Mean Dev,Std Dev,Var,Mean Rel Error,Mean acc ratio
10,dachte,8,12,9.600,2.400,0.800,1.020,1.040,0.318,1.093
10,königin,6,13,9.800,3.800,1.400,1.833,3.360,0.532,1.153
10,ganz,8,13,10.500,2.500,1.300,1.500,2.250,0.535,1.251
10,sagte,12,17,14.400,2.600,1.080,1.356,1.840,0.410,1.098
10,alice,13,17,14.900,2.100,0.920,1.136,1.290,0.395,1.193
100,dachte,7,12,9.360,2.640,0.916,1.136,1.290,0.323,1.013
100,königin,6,13,9.720,3.720,0.959,1.192,1.422,0.320,1.006
100,ganz,8,12,10.030,2.030,0.819,1.053,1.109,0.297,0.992
100,sagte,12,17,14.320,2.680,0.871,1.076,1.158,0.311,1.023
100,alice,12,18,14.450,3.550,0.973,1.178,1.387,0.352,1.028
1000,dachte,6,14,9.394,4.606,0.981,1.191,1.419,0.357,1.037
1000,königin,6,13,9.767,3.767,0.901,1.114,1.241,0.304,1.012
1000,ganz,6,14,9.970,4.030,0.872,1.165,1.357,0.324,0.988
1000,sagte,10,19,14.181,4.819,0.940,1.189,1.414,0.342,0.992
1000,alice,11,18,14.382,3.618,0.997,1.217,1.482,0.352,1.009
10000,dachte,6,14,9.373,4.627,0.956,1.167,1.362,0.346,1.024
10000,königin,6,14,9.748,4.252,0.944,1.169,1.366,0.318,1.013
10000,ganz,6,15,10.033,4.967,0.891,1.174,1.378,0.335,1.012
10000,sagte,10,20,14.221,5.779,0.972,1.216,1.478,0.351,1.009
10000,alice,11,19,14.375,4.625,0.984,1.204,1.451,0.343,1.003
