Num Trials,Word,Min val,Max val,Mean Value,Max Dev,Mean Dev,Std Dev,Var,Mean Rel Error,Mean acc ratio
10,dachte,11,21,14.400,6.600,2.560,3.040,9.240,0.203,0.886
10,königin,11,22,18.300,7.300,2.040,2.865,8.210,0.104,0.976
10,ganz,17,26,21.500,4.500,2.500,2.975,8.850,0.113,1.036
10,sagte,81,101,92.500,11.500,5.000,6.087,37.050,0.064,1.025
10,alice,79,105,95.800,16.800,6.680,8.109,65.760,0.071,1.003
100,dachte,9,26,16.350,9.650,2.778,3.395,11.527,0.170,1.006
100,königin,10,27,18.460,8.540,2.831,3.398,11.548,0.151,0.985
100,ganz,14,35,20.830,14.170,2.784,3.502,12.261,0.134,1.004
100,sagte,73,114,90.440,23.560,5.829,7.369,54.306,0.065,1.002
100,alice,71,117,96.630,25.630,6.583,8.331,69.413,0.069,1.012
1000,dachte,6,27,16.097,10.903,2.889,3.619,13.096,0.179,0.991
1000,königin,10,29,18.576,10.424,3.030,3.702,13.704,0.162,0.991
1000,ganz,8,33,20.984,12.984,3.073,3.885,15.092,0.149,1.011
1000,sagte,62,114,89.555,27.555,6.687,8.306,68.983,0.075,0.992
1000,alice,66,130,95.379,34.621,6.884,8.551,73.125,0.072,0.999
10000,dachte,5,32,16.231,15.769,2.766,3.454,11.927,0.170,0.999
10000,königin,4,33,18.775,14.775,3.017,3.764,14.168,0.161,1.001
10000,ganz,6,36,20.708,15.292,3.138,3.924,15.402,0.151,0.998
10000,sagte,60,119,90.177,30.177,6.556,8.224,67.627,0.073,0.999
10000,alice,64,129,95.430,33.570,6.748,8.436,71.170,0.071,0.999
