Num Trials,Word,Min val,Max val,Mean Value,Max Dev,Mean Dev,Std Dev,Var,Mean Rel Error,Mean acc ratio
10,like,9,11,10.100,1.100,0.720,0.831,0.690,0.252,0.979
10,one,8,13,10.600,2.600,0.880,1.200,1.440,0.297,1.036
10,little,10,13,10.900,2.100,0.900,1.044,1.090,0.343,0.877
10,alice,13,16,14.400,1.600,0.880,1.020,1.040,0.319,1.020
10,said,13,16,14.400,1.600,0.680,0.800,0.640,0.263,0.808
100,like,7,12,10.080,3.080,0.850,1.120,1.254,0.322,1.008
100,one,8,14,10.610,3.390,0.897,1.094,1.198,0.309,1.027
100,little,9,14,11.190,2.810,1.028,1.255,1.574,0.373,0.998
100,alice,12,18,14.260,3.740,0.987,1.197,1.432,0.356,0.998
100,said,13,18,14.910,3.090,0.812,1.040,1.082,0.293,0.992
1000,like,7,15,10.110,4.890,0.941,1.194,1.426,0.352,1.033
1000,one,7,14,10.522,3.522,0.964,1.178,1.388,0.336,1.008
1000,little,8,16,11.271,4.729,0.979,1.221,1.492,0.358,1.021
1000,alice,11,19,14.332,4.668,0.964,1.182,1.398,0.340,1.017
1000,said,12,18,14.884,3.116,0.939,1.189,1.415,0.333,1.002
10000,like,6,15,10.075,4.925,0.891,1.160,1.347,0.334,1.014
10000,one,7,16,10.532,5.468,0.974,1.182,1.397,0.337,1.012
10000,little,7,15,11.243,4.243,0.956,1.187,1.409,0.344,1.004
10000,alice,10,19,14.300,4.700,0.991,1.222,1.494,0.354,1.013
10000,said,11,20,14.876,5.124,0.953,1.215,1.477,0.334,1.003
