Num Trials,Word,Min val,Max val,Mean Value,Max Dev,Mean Dev,Std Dev,Var,Mean Rel Error,Mean acc ratio
10,like,16,24,20.000,4.000,2.800,3.033,9.200,0.133,0.952
10,one,16,33,23.400,9.600,3.400,4.565,20.840,0.149,0.945
10,little,23,40,32.400,9.400,3.680,4.737,22.440,0.113,1.012
10,alice,73,107,93.000,20.000,8.600,10.286,105.800,0.093,1.005
10,said,98,132,114.300,17.700,8.180,10.189,103.810,0.073,1.003
100,like,12,30,21.530,9.530,2.970,3.667,13.449,0.141,1.025
100,one,15,34,24.780,9.780,3.140,3.984,15.872,0.127,1.001
100,little,16,51,31.900,19.100,3.928,5.410,29.270,0.122,0.997
100,alice,73,118,93.050,24.950,6.757,8.683,75.387,0.073,1.006
100,said,90,137,114.660,24.660,6.720,8.618,74.264,0.059,1.006
1000,like,10,36,20.883,15.117,2.958,3.762,14.149,0.141,0.994
1000,one,12,39,24.921,14.079,3.407,4.311,18.589,0.138,1.007
1000,little,17,47,32.154,15.154,4.071,5.067,25.676,0.127,1.005
1000,alice,68,121,92.823,28.177,6.842,8.512,72.454,0.074,1.003
1000,said,84,150,113.905,36.095,7.716,9.572,91.624,0.068,0.999
10000,like,8,36,20.966,15.034,3.159,3.944,15.556,0.150,0.998
10000,one,9,41,24.779,16.221,3.434,4.298,18.472,0.139,1.001
10000,little,14,50,31.935,18.065,3.843,4.816,23.190,0.120,0.998
10000,alice,59,123,92.404,33.404,6.641,8.319,69.212,0.072,0.999
10000,said,79,151,114.261,36.739,7.468,9.336,87.163,0.065,1.002
