Num Trials,Word,Min val,Max val,Mean Value,Max Dev,Mean Dev,Std Dev,Var,Mean Rel Error,Mean acc ratio
10,kaikki,8,12,9.200,2.800,0.880,1.166,1.360,0.369,0.918
10,sitten,7,11,9.500,2.500,1.000,1.204,1.450,0.293,0.976
10,aivan,8,12,9.900,2.100,0.940,1.300,1.690,0.346,1.090
10,sanoi,12,14,13.000,1.000,0.400,0.632,0.400,0.195,0.906
10,liisa,12,17,14.500,2.500,1.100,1.360,1.850,0.434,1.183
100,kaikki,7,12,9.670,2.670,0.990,1.192,1.421,0.362,1.073
100,sitten,7,13,9.540,3.460,0.822,1.014,1.028,0.289,0.977
100,aivan,7,13,10.100,3.100,0.966,1.237,1.530,0.379,1.156
100,sanoi,10,16,13.190,3.190,1.049,1.270,1.614,0.362,1.036
100,liisa,11,19,14.120,4.880,0.863,1.186,1.406,0.338,1.019
1000,kaikki,7,13,9.566,3.434,0.953,1.145,1.312,0.340,1.030
1000,sitten,6,13,9.601,3.601,0.960,1.164,1.354,0.330,1.015
1000,aivan,7,14,9.794,4.206,0.944,1.188,1.412,0.326,1.033
1000,sanoi,10,17,13.163,3.837,0.941,1.208,1.460,0.354,1.026
1000,liisa,10,18,14.062,4.062,0.963,1.264,1.598,0.356,1.003
10000,kaikki,6,14,9.515,4.485,0.958,1.161,1.349,0.334,1.013
10000,sitten,6,15,9.600,5.400,0.969,1.183,1.400,0.338,1.018
10000,aivan,5,15,9.776,5.224,0.947,1.184,1.401,0.324,1.025
10000,sanoi,8,18,13.132,5.132,0.939,1.199,1.438,0.345,1.011
10000,liisa,10,19,14.077,4.923,0.924,1.205,1.451,0.343,1.000
