Num Trials,Word,Min val,Max val,Mean Value,Max Dev,Mean Dev,Std Dev,Var,Mean Rel Error,Mean acc ratio
10,kaikki,12,23,17.300,5.700,3.100,3.551,12.610,0.180,1.003
10,sitten,14,21,17.400,3.600,2.000,2.332,5.440,0.113,0.980
10,aivan,14,25,19.900,5.900,3.080,3.477,12.090,0.155,1.061
10,sanoi,52,72,61.300,10.700,4.500,5.496,30.210,0.073,0.997
10,liisa,79,103,90.000,13.000,6.200,7.197,51.800,0.080,1.040
100,kaikki,10,26,17.220,8.780,2.698,3.318,11.012,0.157,0.998
100,sitten,9,28,17.520,10.480,2.770,3.410,11.630,0.156,0.987
100,aivan,6,27,18.280,12.280,3.098,3.808,14.502,0.163,0.975
100,sanoi,40,74,60.530,20.530,5.070,6.413,41.129,0.083,0.984
100,liisa,66,110,87.500,22.500,6.820,8.545,73.010,0.079,1.012
1000,kaikki,7,29,17.288,11.712,2.758,3.500,12.253,0.160,1.002
1000,sitten,7,33,17.795,15.205,2.972,3.707,13.745,0.168,1.003
1000,aivan,8,32,18.603,13.397,3.059,3.828,14.655,0.163,0.992
1000,sanoi,42,84,61.788,22.212,5.473,6.804,46.293,0.089,1.005
1000,liisa,61,118,86.204,31.796,6.487,8.094,65.506,0.075,0.997
10000,kaikki,3,32,17.170,14.830,2.880,3.619,13.100,0.167,0.995
10000,sitten,5,32,17.724,14.276,2.911,3.652,13.334,0.164,0.999
10000,aivan,6,32,18.767,13.233,3.020,3.784,14.317,0.161,1.001
10000,sanoi,36,89,61.433,27.567,5.373,6.743,45.469,0.087,0.999
10000,liisa,57,117,86.340,30.660,6.427,8.084,65.347,0.074,0.998
