Num Trials,Word,Min val,Max val,Mean Value,Max Dev,Mean Dev,Std Dev,Var,Mean Rel Error,Mean acc ratio
10,si,9,13,11.100,2.100,0.940,1.221,1.490,0.365,0.859
10,bien,9,14,12.000,3.000,1.400,1.673,2.800,0.424,0.820
10,tout,12,16,13.900,2.100,1.100,1.221,1.490,0.496,1.335
10,alice,13,17,15.000,2.000,1.000,1.265,1.600,0.454,1.240
10,dit,13,18,15.400,2.600,1.280,1.497,2.240,0.579,1.380
100,si,9,15,11.520,3.480,1.130,1.382,1.910,0.385,1.020
100,bien,10,15,12.880,2.880,0.954,1.186,1.406,0.317,1.033
100,tout,10,17,13.050,3.950,0.902,1.135,1.288,0.326,0.983
100,alice,12,17,14.630,2.630,0.957,1.110,1.233,0.347,1.073
100,dit,12,18,14.690,3.310,0.995,1.230,1.514,0.353,1.037
