Num Trials,Word,Min val,Max val,Mean Value,Max Dev,Mean Dev,Std Dev,Var,Mean Rel Error,Mean acc ratio
10,perchè,9,13,10.200,2.800,0.880,1.166,1.360,0.365,0.989
10,rispose,9,13,10.900,2.100,0.920,1.136,1.290,0.356,1.109
10,d,10,13,10.700,2.300,0.840,1.005,1.010,0.360,0.829
10,disse,13,15,13.600,1.400,0.720,0.800,0.640,0.266,1.001
10,alice,12,16,14.300,2.300,0.960,1.187,1.410,0.329,0.949
100,perchè,7,13,10.280,3.280,0.985,1.242,1.542,0.356,1.017
100,rispose,8,13,10.520,2.520,0.991,1.187,1.410,0.333,0.975
100,d,8,15,11.300,3.700,1.004,1.308,1.710,0.394,1.067
100,disse,11,17,13.180,3.820,0.983,1.220,1.488,0.347,0.910
100,alice,12,17,14.350,2.650,1.071,1.268,1.608,0.357,0.980
1000,perchè,7,14,10.352,3.648,0.991,1.216,1.478,0.357,1.038
1000,rispose,7,15,10.605,4.395,0.923,1.136,1.291,0.313,1.001
1000,d,7,15,11.173,4.173,0.945,1.200,1.441,0.348,0.999
1000,disse,10,18,13.436,4.564,1.030,1.254,1.572,0.361,1.000
1000,alice,11,18,14.467,3.533,1.016,1.230,1.513,0.351,1.017
10000,perchè,6,15,10.281,4.719,0.963,1.191,1.419,0.348,1.010
10000,rispose,7,15,10.611,4.389,0.977,1.189,1.413,0.334,1.011
10000,d,8,16,11.229,4.771,0.957,1.192,1.421,0.347,1.016
10000,disse,9,19,13.473,5.527,1.001,1.215,1.477,0.345,1.006
10000,alice,10,19,14.436,4.564,0.997,1.214,1.473,0.343,1.003
