Num Trials,Word,Min val,Max val,Mean Value,Max Dev,Mean Dev,Std Dev,Var,Mean Rel Error,Mean acc ratio
10,perchè,18,31,24.400,6.600,3.480,4.079,16.640,0.163,1.073
10,rispose,18,33,24.400,8.600,3.880,4.565,20.840,0.161,0.957
10,d,22,44,32.200,11.800,4.800,6.063,36.760,0.152,1.022
10,disse,58,83,70.900,12.900,5.900,7.120,50.690,0.085,1.016
10,alice,85,115,99.300,15.700,7.100,8.603,74.010,0.073,1.016
100,perchè,12,32,22.840,10.840,3.150,3.893,15.154,0.139,1.004
100,rispose,15,38,25.630,12.370,3.612,4.556,20.753,0.142,1.005
100,d,20,43,31.670,11.670,3.963,4.897,23.981,0.126,1.005
100,disse,50,87,70.320,20.320,5.786,7.212,52.018,0.083,1.008
100,alice,73,117,97.070,24.070,6.450,8.320,69.225,0.066,0.993
1000,perchè,10,41,22.674,18.326,3.233,4.077,16.626,0.142,0.997
1000,rispose,13,40,25.530,14.470,3.547,4.393,19.299,0.139,1.001
1000,d,17,49,31.756,17.244,3.942,4.909,24.096,0.126,1.008
1000,disse,47,93,69.824,23.176,5.608,7.013,49.189,0.080,1.001
1000,alice,71,125,97.581,27.419,6.705,8.411,70.745,0.069,0.998
10000,perchè,9,38,22.663,15.337,3.289,4.104,16.843,0.145,0.996
10000,rispose,11,41,25.476,15.524,3.450,4.307,18.549,0.135,0.999
10000,d,15,52,31.516,20.484,3.941,4.939,24.390,0.125,1.001
10000,disse,43,99,69.735,29.265,5.807,7.281,53.008,0.083,1.000
10000,alice,68,130,97.811,32.189,6.752,8.461,71.583,0.069,1.001
